zbMATH_ID,Title,Abstract/Review/Summarry,Authors,Keywords,MSCs,Full text link,References
7924,Invariant theory,['See the review in Zbl 0735.14010.'],"['Popov, V. L.', 'Vinberg, Eh. B.']","['Bibliography', 'geometric invariant theory', 'rationality of the field of invariants', 'constructive invariant theory', ""Hilbert's 14th problem"", 'PoincarÃ© series', 'categorical quotients', 'Russian conjecture']","[{'code': '14L24', 'scheme': 'msc2020', 'text': 'Geometric invariant theory'}, {'code': '14L30', 'scheme': 'msc2020', 'text': 'Group actions on varieties or schemes (quotients)'}, {'code': '14M17', 'scheme': 'msc2020', 'text': 'Homogeneous spaces and generalizations'}, {'code': '14-03', 'scheme': 'msc2020', 'text': 'History of algebraic geometry'}, {'code': '14-02', 'scheme': 'msc2020', 'text': 'Research exposition (monographs, survey articles) pertaining to algebraic geometry'}, {'code': '20G05', 'scheme': 'msc2020', 'text': 'Representation theory for linear algebraic groups'}]",No doi or fulltext link available,No refrences available
10342,Maximal contact in positive characteristic and small multiplicity.,"[""The author proves the following theorem: Fix an infinite base field \\(k\\) of characteristic \\(p >0\\), let \\(X\\) be a subscheme of the regular \\(k\\)- scheme \\(Z\\), and let \\(x\\in X\\) be a closed point such that \\(X\\) has multiplicity \\(e(x)<p\\) at \\(x\\). Then there exists, in a neighborhood of \\(x\\), a regular subscheme \\(W\\) of \\(Z\\) which has maximal contact with \\(X\\) in \\(x\\) and which has dimension \\(\\leq\\dim X\\). \n\n \\textit{J. Giraud} [Ann. Sci. Ã‰c. Norm. SupÃ©r., IV. SÃ©r. 8, 201--234 (1975; Zbl 0306.14004)] had proved a similar result, showing the existence of a subscheme \\(W'\\) as above, but which is not in general regular. In the present paper it is shown that Giraud's \\(W'\\) is contained in a regular \\(W\\) with the same property.\n\n\nUsing a result of \\textit{S. S. Abhyankar} [``Resolution of singularities of embedded algebraic surfaces'', Pure Appl. Math. 24. New York etc.: Academic Press (1966; Zbl 0147.20504)] it follows that every projective 3-dimensional variety (over a field of positive characteristic \\(p\\)) is birationally equivalent to one which can be desingularized.""]","['Cossart, V.']","['Samuel stratum', 'desingularization of threefold', 'prime characteristic', 'maximal contact']","[{'code': '14E15', 'scheme': 'msc2020', 'text': 'Global theory and resolution of singularities (algebro-geometric aspects)'}, {'code': '14J30', 'scheme': 'msc2020', 'text': '\\(3\\)-folds'}, {'code': '14G15', 'scheme': 'msc2020', 'text': 'Finite ground fields in algebraic geometry'}, {'code': '14B05', 'scheme': 'msc2020', 'text': 'Singularities in algebraic geometry'}]",['10.1215/S0012-7094-91-06303-9'],"['S. Abhyankar, Resolution of singularities of embedded algebraic surfaces , Pure and Applied Mathematics, Vol. 24, Academic Press, New York, 1966.', 'V. Cossart, Desingularization of embedded excellent surfaces , TÃ´hoku Math. J. (2) 33 (1981), no. 1, 25-33.', 'V. Cossart, J. Giraud, and U. Orbanz, Resolution of surface singularities , Lecture Notes in Mathematics, vol. 1101, Springer-Verlag, Berlin, 1984.', 'J. Giraud, Ã‰tude locale des singularitÃ©s , U.E.R. MathÃ©matique, UniversitÃ© Paris XI, Orsay, 1972.', 'J. Giraud, Contact maximal en caractÃ©ristique positive , Ann. Sci. Ã‰cole Norm. Sup. (4) 8 (1975), no. 2, 201-234.', 'H. Hironaka, Introduction to the theory of infinitely near singular points , Consejo Superior de Investigaciones CientÃ­ficas, Madrid, 1974.']"
11164,"Quivers, perverse sheaves, and quantized enveloping algebras","[""In earlier work [J. Am. Math. Soc. 3, 447-498 (1990; Zbl 0703.17008) and Prog. Theor. Phys. 102, Suppl., 175-202 (1990; Zbl 0776.17012)] the author constructed a very remarkable so-called canonical basis for \\(U^ -_ q\\) where \\(U_ q\\) is the quantized enveloping algebra for a semisimple Lie algebra of simply laced type. In fact, he had two different methods for this construction, an elementary and a geometric method.\n\n\nIn this paper he extends the geometric method (using representations of quivers, perverse sheaves etc.) to the case of quantum groups associated with arbitrary Kac-Moody algebras. Among the amazing properties of the canonical basis of \\(U_ q\\) are its integrality properties, positivity properties and the fact that it gives canonical bases for all the integrable simple modules. All these properties are proved to hold also in the general case (in fact even stronger positivity results than in earlier work are obtained).\n\n\nOne of the key ingredients in the proofs is an imitation of the methods from the author's theory of character sheaves.""]","['Lusztig, George']","['quantized enveloping algebra', 'quivers', 'perverse sheaves', 'quantum groups', 'character sheaves']","[{'code': '17B37', 'scheme': 'msc2020', 'text': 'Quantum groups (quantized enveloping algebras) and related deformations'}, {'code': '20G05', 'scheme': 'msc2020', 'text': 'Representation theory for linear algebraic groups'}, {'code': '17B10', 'scheme': 'msc2020', 'text': 'Representations of Lie algebras and Lie superalgebras, algebraic theory (weights)'}]",['10.2307/2939279'],"['A. A. BeÄ­linson, J. Bernstein, and P. Deligne, Faisceaux pervers, Analysis and topology on singular spaces, I (Luminy, 1981) AstÃ©risque, vol. 100, Soc. Math. France, Paris, 1982, pp. 5 -- 171 (French).', 'Pierre Deligne, La conjecture de Weil. II, Inst. Hautes Ã‰tudes Sci. Publ. Math. 52 (1980), 137 -- 252 (French).', 'Vlastimil Dlab and Claus Michael Ringel, Indecomposable representations of graphs and algebras, Mem. Amer. Math. Soc. 6 (1976), no. 173, v+57.', 'Victor G. Kac, Infinite-dimensional Lie algebras, Progress in Mathematics, vol. 44, BirkhÃ¤user Boston, Inc., Boston, MA, 1983. An introduction.', 'Masaki Kashiwara and Pierre Schapira, Microlocal study of sheaves, AstÃ©risque 128 (1985), 235 (English, with French summary). Corrections to this article can be found in AstÃ©risque No. 130, p. 209.', 'P. B. Kronheimer, The construction of ALE spaces as hyper-KÃ¤hler quotients, J. Differential Geom. 29 (1989), no. 3, 665 -- 683.', 'George Lusztig, Character sheaves. I, Adv. in Math. 56 (1985), no. 3, 193 -- 237.', 'G. Lusztig, Canonical bases arising from quantized enveloping algebras, J. Amer. Math. Soc. 3 (1990), no. 2, 447 -- 498.', '-, Canonical bases arising from quantized enveloping algebras, II, Progr. Theor. Phys. 102 (1990).', 'R. D. MacPherson, Chern classes for singular algebraic varieties, Ann. of Math. (2) 100 (1974), 423 -- 432.', 'Claus Michael Ringel, Hall algebras and quantum groups, Invent. Math. 101 (1990), no. 3, 583 -- 591.', 'A. Schofield, Notes on constructing Lie algebras from finite-dimensional algebras, preprint.']"
14466,Orderings and real places on commutative rings,"['The author extends the notion and results of real places on fields to commutative rings. Namely, given a commutative ring \\(R\\) a real place on \\(R\\) is a pair \\(\\sigma=({\\mathfrak p},\\sigma)\\), where \\({\\mathfrak p}\\) is a prime ideal of \\(R\\) and \\(\\overline\\sigma:\\kappa({\\mathfrak p})\\to k\\cup\\infty\\) is a \\(k\\)-place on the residue field of \\({\\mathfrak p}\\). If \\(k=\\mathbb{R}\\) the place is called real. The readers familiar with the notion of real spectra will surely have noticed the similarity of both constructions. Then the author considers the space \\(M(R)\\) of real places on \\(R\\) which is the collection of all the above pairs modulo some equivalence relation, and topologizes it with the quotient topology inherited by the canonical epimorphism \\(\\lambda:\\text{Spec}_ r(R)\\to M(R)\\).\n\n\nThis space \\(M(R)\\) was well known in case \\(R\\) is a field, and its properties extend naturally (and easily) to this more general situation, as well as other concepts as the one of holomorphy ring. So the results of the paper are essentially not new but the expected extensions of the known ones for fields, or in some cases reformulations in the language of real places of some known facts for the real spectrum, as theorem 4.3. -- - Also the author raises the question of the possible extension of some of the results to the case of \\(k\\)-places with \\(k\\neq\\mathbb{R}\\). Some work in this direction (always in the case of a field) was done by \\textit{H.-W. SchÃ¼lting} in GÃ©omÃ©trie algÃ©brique rÃ©elle et formes quadratiques, JournÃ©e SMF, Univ. Rennes 1981, Lect. Notes Math. 959, 433-442 (1982; Zbl 0498.14013), where he works with the relative holomorphy ring. Finally the paper finishes by applying the results to the particular case of rings with many units and answering in the affirmative a question of \\textit{M. Knebusch}, namely whether the space \\(M_ T\\) of real places compatible with a given preorder \\(T\\) is Hausdorff.']","['Marshall, Murray']","['real place', 'holomorphy ring', 'rings with many units']","[{'code': '13A18', 'scheme': 'msc2020', 'text': 'Valuations and their generalizations for commutative rings'}, {'code': '14P05', 'scheme': 'msc2020', 'text': 'Real algebraic sets'}, {'code': '12D15', 'scheme': 'msc2020', 'text': 'Fields related with sums of squares (formally real fields, Pythagorean fields, etc.)'}]",['10.1016/0021-8693(91)90169-9'],"['Becker, E., Valuations and real places in the theory of formally real fields, (), 1-40', 'Becker, E., The real holomorphy ring and sums of 2\\textit{n}th powers, (), 139-181', 'Becker, E.; BrÃ¶cker, L., On the description of the reduced Witt ring, J. algebra, 52, 328-346, (1978)', 'Bochnak, J.; Coste, M.; Roy, M-F., GÃ©omÃ©trie algÃ©brique rÃ©elle, ()', 'BrÃ¶cker, L., Zur thÃ©orie der quadratischen formen Ã¼ber formal reellen korpern, Math. ann., 210, 233-256, (1974)', 'Brown, R.; Marshall, M., The reduced theory of quadratic forms, Rocky mountain J. math., 11, 161-175, (1981)', ""Dubois, D.W., A note on david Harrison's theory of preprimes, Pacific J. math., 21, 15-19, (1967)"", ""Dubois, D.W., A second note on david Harrison's theory of preprimes, Pacific J. math., 24, 57-68, (1968)"", 'GrÃ¤ter, J., Integral closure and valuation rings with zero divisors, Studia sci. math. hungar., 457-458, (1982)', 'Griffin, M., Valuations and PrÃ¼fer rings, Canad. J. math., 26, 412-429, (1974)', 'Kadison, R.V., A representation theorem for commutative topological algebra, Mem. amer. math. soc., 7, (1951)', 'Knebusch, M., On the local theory of signatures and reduced quadratic forms, (), 149-195', 'Lam, T.Y., Orderings, valuations and quadratic forms, ()', 'Lam, T.Y., An introduction to real algebra, Rocky. mountain J. math., 14, 767-814, (1984)', 'Manis, M., Valuations on a commutative ring, (), 193-198', 'Marshall, M., The Witt ring of a space of orderings, Trans. amer. math. soc., 298, 505, (1980)', 'Marshall, Spaces of orderings IV, Canad. J. math., 32, 603-627, (1980)', 'Marshall, M., Spaces of orderings: systems of quadratic forms, local structure and saturation, Comm. algebra, 12, 723-743, (1984)', 'Marshall, M.; Walter, L., Signatures of higher level of rings with many units, Math. Z., 204, 129-143, (1990)', 'McDonald, B.; Waterhouse, W., Projective modules over rings with many units, (), 455-458', 'SchÃ¼lting, H., Ãœber reelle stellen eines KÃ¶rpers und ihren holomorphierung, Ph.D. thesis, (1979), Dortmund', 'SchÃ¼lung, H., Real points and real places, Contemp. math., 8, 289-296, (1982)', 'Valente, K.G., The \\textit{p}-primes of a commutative ring, Pacific J. math., 126, 285-400, (1987)', '{\\scK. G. Valente}, On orderings, valuations, and 0-primes of a commutative ring, preprint.', 'Walter, L., Quadratic forms, orderings, and quaternion algebras over rings with many units, ()']"
27577,Triple coverings of algebraic surfaces according to the Cardano formula,"[""The general structure of a triple cover of an algebraic variety is described by \\textit{R. Miranda} in Am. J. Math. 107, 1123-1158 (1985; Zbl 0611.14011). A generalization of Miranda's result to the case of arbitrary schemes and the description of the characteristic 3 case are contained in the reviewer's paper in Ark. Mat. 27, No. 2, 319-341 (1989; Zbl 0707.14010).\n\n\nIn the present paper the author tries a new approach to the study of triple covers. Given a triple cover \\(p:X\\to Y\\), he considers its Galoisization \\(\\hat p:\\hat X\\to Y\\), namely the smallest Galois cover of \\(Y\\) such that there exists \\(\\alpha:\\hat X\\to X\\) which is a morphism over \\(Y\\), and tries to deduce properties of \\(X\\) from the properties of \\(\\hat X\\). --- This way, he proves that a totally ramified triple cover of a simply connected variety is cyclic and describes \\(\\hat X\\) and \\(X\\) in detail in the case that \\(X\\) is a surface and the singularities of the branch curve of \\(p\\) are cusps. In addition, several examples are carefully computed.""]","['Tokunaga, Hiro-o']","['cyclic cover', 'structure of a triple cover', 'ramified triple cover']","[{'code': '14E20', 'scheme': 'msc2020', 'text': 'Coverings in algebraic geometry'}, {'code': '14J99', 'scheme': 'msc2020', 'text': 'Surfaces and higher-dimensional varieties'}]",['10.1215/kjm/1250519793'],No refrences available
28328,A GrÃ¶bner basis criterion for isomorphisms of algebraic varieties,['Summary: We prove an effective criterion to determine whether a given polynomial map of affine algebraic sets is an isomorphism and if so to compute the inverse. We also show how to compute the image of an algebraic set in any polynomial mapping. Both problems are tackled with the help of GrÃ¶bner bases. The theorems presented here extend known results for polynomial automorphisms of affine spaces.'],"['KwieciÅ„ski, MichaÅ‚']","['computing the inverse of a polynomial', 'image of an algebraic set', 'GrÃ¶bner bases']","[{'code': '13P10', 'scheme': 'msc2020', 'text': 'GrÃ¶bner bases; other bases for ideals and modules (e.g., Janet and border bases)'}, {'code': '14H37', 'scheme': 'msc2020', 'text': 'Automorphisms of curves'}, {'code': '13B25', 'scheme': 'msc2020', 'text': 'Polynomials over commutative rings'}]",['10.1016/0022-4049(91)90117-K'],"['Buchberger, B., GrÃ¶bner bases: an algorithmic method in polynomial ideal theory, ()', 'Lejeune-Jalabert, M., EffectivitÃ© de calculs polynomiaux, ()', 'Pauer, F.; Pfeifhofer, M., The theory of GrÃ¶bner bases, Enseign. math., 34, 215-232, (1988)', 'Rusek, K., Polynomial automorphisms, (1989), Institute of Mathematics, Polish Academy of Sciences, Preprint 456', 'Shannon, D.; Sweedler, M., Using GrÃ¶bner bases to determine algebra membership, split surjective algebra homomorphisms and determine birational equivalence, J. symbolic comput., 6, 267-273, (1988)', 'van den Essen, A., A criterion to decide if a polynomial map is invertible and to compute the inverse, Comm. algebra, 18, 10, 3183-3186, (1990)']"
29327,On quantum gauge theories in two dimensions,['Summary: Two dimensional quantum Yang-Mills theory is studied from three points of view: (i) by standard physical methods; (ii) by relating it to the large \\(k\\) limit of three dimensional Chern-Simons theory and two dimensional conformal field theory; (iii) by relating its weak coupling limit to the theory of Reidemeister-Ray-Singer torsion. The results obtained from the three points of view agree and give formulas for the volumes of the moduli spaces of representations of fundamental groups of two dimensional surfaces.'],"['Witten, Edward']","['Yang-Mills theory', 'Chern-Simons theory', 'conformal field theory', 'Reidemeister-Ray-Singer torsion', 'fundamental groups']","[{'code': '53Z05', 'scheme': 'msc2020', 'text': 'Applications of differential geometry to physics'}, {'code': '81T13', 'scheme': 'msc2020', 'text': 'Yang-Mills and other gauge theories in quantum field theory'}, {'code': '53C07', 'scheme': 'msc2020', 'text': 'Special connections and metrics on vector bundles (Hermite-Einstein, Yang-Mills)'}, {'code': '81T40', 'scheme': 'msc2020', 'text': 'Two-dimensional field theories, conformal field theories, etc. in quantum mechanics'}]",['10.1007/BF02100009'],"['Atiyah, M.F., Bott, R.: The Yang-Mills equations over Riemann surfaces. Phil. Trans. R. Soc. London A308, 523 (1982)', 'Goldman, W.: The symplectic nature of fundamental groups of surfaces. Adv. Math.54, 200 (1984)', 'Ray, D., Singer, I.:R-torsion and the Laplacian on Riemannian manifolds. Adv. Math.7, 145 (1971)', 'Narasimhan, M.S., Seshadri, C.: Stable and unitary bundles on a compact Riemann surface. Ann. Math.82, 540 (1965)', 'Verlinde, E.: Fusion rules and modular transformations in 2d conformal field theory. Nucl. Phys. B300, 360 (1988)', 'Tsuchiya, A., Ueno, K., Yamada, Y.: Conformal field theory on universal family of stable curves with gauge symmetries. Max-Planck-Institut preprint MPI/89/18', 'Segal, G.: Two dimensional conformal field theories and modular functors. In: IXth International Conference on Mathematical Physics (Swansea, July, 1988) Simon, B., Truman, A., Davies, I.M. (eds.). Bristol: Adam Hilger (1989) 22, and preprint (to appear)', 'Witten, E.: Quantum field theory and the Jones polynomial. Commun. Math. Phys.121, 351 (1989)', 'Apostol, T.M.: Introduction to analytic number theory. Berlin, Heidelberg, New York: Springer 1984', 'Thaddeus, M.: Conformal field theory and the moduli space of stable bundles. Oxford University preprint', 'Milnor, J.: Whitehead torsion. Bull. Am. Math. Soc.72, 358 (1966)', ""Johnson, D.: A geometric form of Casson's invariant, and its connection to Reidemeister torsion. Unpublished lecture notes"", 'Freed, D.: Reidemeister torsion, spectral sequences, and Breiskorn spheres. Preprint (University of Texas)', 'Fine, D.: Quantum Yang-Mills theory on the two sphere. Commun. Math. Phys.134, 273 (1990); Quantum Yang-Mills on a Riemann surface. Commun. Math. Phys.140, 321--338 (1991)', 'Migdal, A.: Zh. Eksp. Teor. Fiz.69, 810 (1975) (Sov. Phys. Jetp.42, 413)', 'Schwarz, A.: The partition function of degenerate quadratic functional and Ray-Singer invariants. Lett. Math. Phys.2, 247 (1978)', 'Witten, E.: Topology-changing amplitudes in 2+1 dimensional gravity. Nucl. Phys.323, 113 (1989)', 'Wilson, K.: Phys. Rev. D10, 2445 (1974)', 'Brocker, T., tom Dieck, T.: Representations of compact Lie groups. Berlin, Heidelberg, New York: Springer 1985', 'Atiyah, M.F.: Geometry and physics of knots. Cambridge: Cambridge University Press 1990', 'Jimbo, M., Miwa, T., Okada, M.: Lett. Math. Phys.14, 123 (1987); Mod. Phys. Lett. B1, 73 (1987); Commun. Math. Phys.116, 507 (1988)', 'Bralic, N.: Phys. Rec. D22, 3090 (1980)', 'Kazakov, V., Kostov, I.: Nucl. Phys. B176, 199 (1980); Phys. Lett. B105, 453 (1981); Nucl. Phys. B179, 283 (1981)', 'Gross, L., King, C., Sengupta, A.: Ann. Phys.194, 65 (1989)', 'Witten, E.: Gauge theories and integrable lattice models. Nucl. Phys. B322, 629 (1989)', ""Bott, R.: On E. Verlinde's formula in the context of stable bundles. Int. J. Mod. Phys.6, 2847 (1991)"", 'Axelrod, S.: Ph. D. thesis (Princeton University, 1991)', 'Axelrod, S., Witten, E.: Unpublished', 'Cheeger, J.: Analytic torsion and the heat equation. Adv. Math.28, 233 (1978)', 'Muller, W.: Analytic torsion and theR-torsion of Riemannian manifolds. Ann. Math.109 (2), 259 (1979)', 'Bar-Natan, D., Witten, E.: Perturbative expansion of Chern-Simons theory with noncompact gauge group. Commun. Math. Phys. (to appear)']"
32834,Enriques graphs of plane curves,"[""The subject of this paper is the (local) study of singularities of (analytic, plane) curves, based on the classical classification of Zariski. A curve here is a \\(C=(R,J)\\) where \\(R\\) is a complete regular noetherian local ring of Krull dimension two and \\(J\\) a non-zero principal ideal of \\(R\\). \\textit{O. Zariski} [Am. J. Math. 87, 507--536 (1965; Zbl 0132.41601)] gives three kinds of equivalence between two curves \\(C\\) and \\(D\\) (\\(a\\)-equivalence, \\(b\\)-equivalence and formal equivalence) and shows that they are equivalent. The case he considers is when \\(R=k[[x,y]]\\), \\(k\\) is an algebraically closed field and \\(C,D\\) are reduced. In this case an indicator for the equivalence class of the curve is given by its ``Enriques diagram'' which is defined by considering the infinitely near points of \\(C\\).\n\n\nIn this paper the assumptions on \\(R\\) are dropped, and the curves can be non-reduced. The equivalence of the three definitions is proved by generalizing the definition of Enriques diagram to a weighted graph \\(G(C)\\), and by proving that to say that \\(C,D\\) are equivalent in one of the three above defined ways amounts to say that \\(G(C)\\) and \\(G(D)\\) are equivalent.""]","['Granja, Angel', 'Sanchez-Giralda, Tomas']","['equivalence class of the curve', 'Enriques diagram']","[{'code': '14H20', 'scheme': 'msc2020', 'text': 'Singularities of curves, local rings'}, {'code': '14E15', 'scheme': 'msc2020', 'text': 'Global theory and resolution of singularities (algebro-geometric aspects)'}]",['10.1080/00927879208824355'],"['Abhyankar S.S., Proc. Sympos. Pure Math 40 (1983)', 'DOI: 10.1007/BF01165829', ""Enriques, F. and Chisini, O. 1915--1924. ''Teoria geometrica delle equazioni e delle funzioni Algebriche''. Bologna: Nicola Zanichelli."", ""Deligne P., in ''Lectures Notes in Matahematics'' (1978)"", ""Granja, A. 1985. ''Invariantes de equisingularidad de curvas planas''. Ph. D. thesis. 1985, University of Valladolid."", 'DOI: 10.1080/00927879008823907', 'Granja A., Aportaciones Mat., Com 4 pp 231-- (1987)', ""Le--Dung--Trang, in ''Travaux en Course 23'' (1987)"", 'DOI: 10.1112/jlms/s1-30.3.360', 'DOI: 10.1017/S0305004100031157', 'DOI: 10.1017/CBO9780511565922', 'Spivakovsky M., Adv. Stud. Pure Math 8 pp 583-- (1986)', 'DOI: 10.2307/2373019', 'DOI: 10.2307/2373741', ""Zariski, O. and Samuel, P. 1960. ''Commutative Algebra''. Vol. II, Princeton: Van Nostrand.""]"
39556,Automorphisms of algebraic K3 surfaces which act trivially on Picard groups,"['Let \\(X\\) be an algebraic \\(K3\\)-surface defined over \\(\\mathbb{C}\\). The Picard group \\(S_ X\\) is a sublattice of \\(H^ 2(S;\\mathbb{Z})\\), and let \\(T_ X\\) be the orthogonal completion of \\(S_ X\\), with respect to the cup product. Let \\(H_ X=\\text{Ker(Aut}(X)\\to\\text{Aut}(S_ X))\\). Nikulin proved that \\(H_ X\\) is a finite cyclic group and \\(\\varphi(m_ X)\\) divides \\(\\text{rank}(T_ X)\\), where \\(m_ X\\) is the order of \\(H_ X\\) and \\(\\varphi\\) is the Euler function. The author studies here the case where \\(T_ X\\) is a unimodular lattice. He shows first that \\(m_ X\\) divides 66, 44, 42, 36, 28 or 12. Then he shows that \\(m_ X\\) must be one of the above six values if \\(\\varphi(m_ X)=\\text{rank}(T_ X)\\). Moreover, for each of these values, there is a unique \\(K3\\)-surface with the given \\(m_ X\\) such that \\(\\varphi(m_ X)=\\text{rank}(T_ X)\\). The proof is based on the observation that \\(X\\) admits an elliptic fibration with a section in such classes.']","['KondÅ, Shigeyuki']","['automorphisms of algebraic \\(K3\\) surfaces', 'Picard groups', 'elliptic surface']","[{'code': '14J50', 'scheme': 'msc2020', 'text': 'Automorphisms of surfaces and higher-dimensional varieties'}, {'code': '14J28', 'scheme': 'msc2020', 'text': '\\(K3\\) surfaces and Enriques surfaces'}, {'code': '14C22', 'scheme': 'msc2020', 'text': 'Picard groups'}, {'code': '14E05', 'scheme': 'msc2020', 'text': 'Rational and birational maps'}]",['10.2969/jmsj/04410075'],No refrences available
42574,Hilbert's tenth problem.,"[""At the beginning of this century David Hilbert (1862-1943), a world- leading mathematician, posed 23 enormously technical problems that were intended to set the mathematical tone for the 20th century. He succeeded!\n\n\nThe Tenth Problem (some might say ``Tenth \\(\\underline{\\text{Class}}\\) of Problems'' since some of Hilbert's problems contain several very hard and largely unconnected problems worthy of separate consideration) is the only obvious decision problem among the 23 classes of problems; of course, any mathematical problem can be reformulated (somewhat artificially) as a decision problem. It asks for a single algorithm to test an arbitrary polynomial with integer coefficients for solvability in integers. The main theme of this book is to show that \\(\\underline{\\text{no}}\\) such algorithm exists. The result was first proved in 1970 by the book's author. The implications of a negative solution to Hilbert's Tenth problem are major not only in theory but in applications, too. E.g., one will not find a polynomial-time solution to an arbitrary scheduling problem. (The Master Scheduling Problem for a realistic Ballistic Missile Defense is surely NP-Complete.)\n\n\nAs an aside to the Tenth Problem, we note that Hilbert's 23 Classes of Problems do not include either Fermat's Last Theorem (FLT) or the Four- Color Problem (now a computerized theorem). Hilbert may have concurred with Gauss' feelings concerning the lesser role of FLT itself in mathematics. Indeed, as passions cool, perhaps a precise upper bound for the Selmer group for the semi-stable case may be found so as to finally settle FLT. More likely, yet another approach will be needed -- hopefully using elementary methods \\(\\underline{\\text{alone}}\\) (rather than by exotic algebraico-geometric methods or topological methods). It should be noted that there exists in a constructive sense an individual subproblem of Hilbert's Tenth Problem which is logically equivalent to FLT.\n\n\nThe monograph is very well written and includes a broad spectrum of topics: exponentiation is diophantine; diophantine coding; primality is diophantine; universal diophantine equations; recursive unsolvability of Hilbert's Tenth Problem; bounded universal quantifiers; diophantine complexity and four number-theoretic Appendices. Each chapter has exercises for the reader and commentary on historical perspective. Hints at solutions are provided for many exercises. For example, a rewarding exercise is to reformulate the classical Four-Color Problem as an assertion of the recursive unsolvability of a specific diophantine equation.\n\n\nThe reviewer highly recommends the monograph to students and teachers of computer science, logic and mathematics.\n\n\nFor the English translation see the announcement above (Zbl 0790.03008).""]","['Matiyasevich, Yu. V.']","[""implications of negative solution to Hilbert's tenth problem"", 'exponentiation', 'diophantine coding', 'primality', 'universal diophantine equations', ""recursive unsolvability of Hilbert's Tenth Problem"", 'bounded universal quantifiers', 'diophantine complexity', 'exercises', 'Four-Color Problem']","[{'code': '03B25', 'scheme': 'msc2020', 'text': 'Decidability of theories and sets of sentences'}, {'code': '03-02', 'scheme': 'msc2020', 'text': 'Research exposition (monographs, survey articles) pertaining to mathematical logic and foundations'}, {'code': '11-02', 'scheme': 'msc2020', 'text': 'Research exposition (monographs, survey articles) pertaining to number theory'}, {'code': '11U05', 'scheme': 'msc2020', 'text': 'Decidability (number-theoretic aspects)'}, {'code': '11D99', 'scheme': 'msc2020', 'text': 'Diophantine equations'}, {'code': '12L05', 'scheme': 'msc2020', 'text': 'Decidability and field theory'}]",No doi or fulltext link available,No refrences available
